sno,h,sub_h,link
41,Three injured as two groups clash after Road accident in Vadodara,The old city area witnessed communal tension late Sunday night after an accident on the Raopura Road. The vehicle owners got into arguments with each other and soon members of two communities joined in.,https://timesofindia.indiatimes.com/city/vadodara/three-injured-as-two-groups-clash-after-road-accident-in-vadodara/articleshow/90902153.cms
42,"Three, including minor killed in Road accident",Three people including a 10-year-old boy died in a Road accident near Kawas in the limits of Ichhapore police station early on Thursday. Two others who were travelling in the ill-fated car were left injured and are currently under treatment at a private hospital.,https://timesofindia.indiatimes.com/city/surat/three-including-minor-killed-in-road-accident/articleshow/86272512.cms
43,22-year-old killed in Road accident,,https://timesofindia.indiatimes.com/city/ahmedabad/22-year-old-killed-in-road-accident/articleshow/88440572.cms
44,Two labourers die in Road accident in Kutch,Two casual labourers died after they were knocked down by a pick-up truck in Kutch on Wednesday night.,https://timesofindia.indiatimes.com/city/rajkot/two-labourers-die-in-road-accident-in-kutch/articleshow/87526208.cms
45,"One killed, 15 injured in Road accident",,https://timesofindia.indiatimes.com/city/rajkot/one-killed-15-injured-in-road-accident/articleshow/88305479.cms
46,Man dies in Road accident on his birthday,,https://timesofindia.indiatimes.com/city/ahmedabad/man-dies-in-road-accident-on-his-birthday/articleshow/88194694.cms
47,Four Bhavnagar cops die in Road accident near Jaipur,Four constables of Bhavnagar police who were returning from Delhi after detaining a theft accused died in a Road accident that occurred near Jaipur on Tuesday. The bodies of the victims were brought to Bhavnagar in a special flight late at night.,https://timesofindia.indiatimes.com/city/rajkot/four-bhavnagar-cops-die-in-road-accident-near-jaipur/articleshow/89602940.cms
48,Doctor dies in Road accident in Dahod,A young orthopedic surgeon died in a Road accident in Dahod district while returning from Madhya Pradesh around Saturday midnight.,https://timesofindia.indiatimes.com/city/vadodara/doc-dies-in-road-accident-in-dahod/articleshow/86737740.cms
49,Four die in two Road accidents,,https://timesofindia.indiatimes.com/city/rajkot/four-die-in-two-road-accidents/articleshow/86240739.cms
50,Surat: Businessman held for killing teenagers in Road accident,Police investigation into the accidental deaths of two teenage boys on Vesu Canal Road revealed that a textile businessman knocked them to death on August 24.,https://timesofindia.indiatimes.com/city/surat/businessman-held-for-killing-teenagers-in-road-accident/articleshow/85844097.cms
51,"Ahmedabad: Three dead, 13 hurt in Road accident in Sanand","Three persons died and 13 sustained injuries when a car hit a chhakdo near Rethal village in Sanand taluka of Ahmedabad district on Sunday, said a police officer.",https://timesofindia.indiatimes.com/city/ahmedabad/three-dead-13-hurt-in-road-accident-in-sanand/articleshow/84533809.cms
52,Three migrant workers die in Road accident,,https://timesofindia.indiatimes.com/city/surat/three-migrant-workers-die-in-road-accident/articleshow/85521483.cms
53,60-year-old killed in Road accident,,https://timesofindia.indiatimes.com/city/vadodara/60-year-old-killed-in-road-accident/articleshow/85283567.cms
54,Nine of Ahmedabad family injured in Road accident,Nine members of a family from Ahmedabad were injured after the mini bus they were travelling in overturned near Nani Mordi village in Chotila taluka of Surendranagar district in the wee hours of Saturday.,https://timesofindia.indiatimes.com/city/rajkot/nine-of-ahmedabad-family-injured-in-road-accident/articleshow/83673553.cms
55,"Gujarat: 4 killed, 2 injured after van on way to temple overturns in Kheda","Four people were killed and two others seriously injured after their van overturned in Gujarat's Kheda district, police said on Wednesday.",https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-4-killed-2-injured-after-van-on-way-to-temple-overturns-in-kheda/articleshow/87150003.cms
56,Road accident fatality rate up from 12% in 2013 to 31% in Ahmedabad,"With every passing year, a greater proportion of Road accidents in the city have involved a death. This is apparent from city traffic police data, which shows that while 12% of accidents involved a death in 2013, the figure was 31% by 2021.",https://timesofindia.indiatimes.com/city/ahmedabad/road-accident-fatality-rate-up-from-12-in-2013-to-31/articleshow/88699399.cms
57,Children become victims of Road accidents near home,,https://timesofindia.indiatimes.com/city/surat/children-become-victims-of-road-accidents-near-home/articleshow/85989451.cms
58,Three youths killed in Road accident in Dhoraji town,Breaking traffic rules proved fatal for three youths as they were killed in a Road accident in Dhoraji town of Rajkot district on Sunday late night.,https://timesofindia.indiatimes.com/city/rajkot/three-youths-killed-in-road-accident-in-dhoraji-town/articleshow/82919487.cms
59,Four killed in two separate Road accidents in Saurashtra,,https://timesofindia.indiatimes.com/city/rajkot/four-killed-in-two-separate-road-accidents-in-saurashtra/articleshow/85813184.cms
60,22% decrease in Road accidents in Gujarat,"While the months of lockdown recorded dip in the road traffic accident (RTA) cases due to restricted movement of vehicles, the rest of the months regained the normal numbers, revealed the analysis of cases by EMRI 108 emergency services.",https://timesofindia.indiatimes.com/city/ahmedabad/22-decrease-in-road-accidents-in-gujarat/articleshow/80438467.cms
61,Five die in Road accident,,https://timesofindia.indiatimes.com/city/vadodara/five-die-in-road-accident/articleshow/80485232.cms
62,"Two dead, seven hurt as truck rams into car",Two persons were killed and seven others injured when a speeding truck rammed into the car in which the victims were travelling from behind near Limbdi town on Rajkot-Ahmedabad highway on Wednesday late evening.,https://timesofindia.indiatimes.com/city/rajkot/two-dead-7-hurt-as-truck-rams-into-car/articleshow/84870626.cms
63,Rajkot: Homeopathy college student killed in Road accident,"A 21-year-old student of homeopathic medicine died in a hit-and-run case near Rajkot city on Monday evening. The deceased was identified as Parimal Soheliya, a native of Paddhari town in Rajkot. He was studying in the third year of BHMS course at a Rajkot-based homeopathy college.",https://timesofindia.indiatimes.com/city/rajkot/homeopathy-college-student-killed-in-road-accident/articleshow/83551998.cms
64,Ragpicker dies in Road accident in Sarkhej,,https://timesofindia.indiatimes.com/city/ahmedabad/ragpicker-dies-in-road-accident-in-sarkhej/articleshow/80902634.cms
65,Four labourers die in Road accident,Four labourers from Rajasthan died and one other was injured after they were hit by an unidentified vehicle near Maliya railway crossing on the outskirts Morbi town early Thursday morning.,https://timesofindia.indiatimes.com/city/rajkot/four-labourers-die-in-road-accident/articleshow/80515136.cms
66,Seven killed in two Road accidents,,https://timesofindia.indiatimes.com/city/rajkot/seven-killed-in-two-road-accidents/articleshow/80454014.cms
67,Gujarat: 10 killed in car-truck collision in Anand district,"Ten persons were killed after their car collided with a truck coming from the opposite direction near Indranaj village in Gujarat's Anand district on Wednesday morning, police said.",https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-10-killed-in-car-truck-collision/articleshow/83563204.cms
68,Two women killed in Road accident,,https://timesofindia.indiatimes.com/city/rajkot/two-women-killed-in-road-accident/articleshow/80290811.cms
69,Gujarat: Three killed in Road accident,,https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-three-killed-in-road-accident/articleshow/80026554.cms
70,Three Covid volunteers die in Road accident near Vadodara,Three persons from Surat who were returning after volunteering for Covid-19 work in Saurashtra died in a Road accident on their way back home. The car in which the victims were travelling ran into a truck leading to the incident.,https://timesofindia.indiatimes.com/city/ahmedabad/three-covid-volunteers-die-in-road-accident-near-vadodara/articleshow/82674727.cms
71,3 Covid volunteers from Surat die in Road accident,,https://timesofindia.indiatimes.com/city/vadodara/3-covid-volunteers-from-surat-die-in-road-accident/articleshow/82664637.cms
72,Man killed in Road accident in Vadodara,A 40-year-old man was killed and his son and wife injured in a head-on collision between a bike and a car on canal road near Bhimpura village in Vadodara on November 17.,https://timesofindia.indiatimes.com/city/vadodara/man-killed-in-road-accident/articleshow/79309372.cms
73,"13,456 deaths in Road accidents in 2 years",,https://timesofindia.indiatimes.com/city/ahmedabad/13456-deaths-in-road-accidents-in-2-years/articleshow/81657822.cms
74,Gujarat: Leopard cub dies in Amreli Road accident,"A leopard cub, aged three to five months, died in a Road accident in Savarkundla village of Amreli district of Gujarat on Wednesday.",https://timesofindia.indiatimes.com/city/rajkot/gujarat-leopard-cub-died-in-road-accident-in-amreli/articleshow/79281938.cms
75,"Gujarat: Man, wife, two-year-old son killed in Road accident","A couple and their two-year-old son were killed on Saturday when their motorcycle was hit by a speeding truck in Gujarat's Amreli district, police said. The incident happened on the outskirts of Rajula town here when the man, his wife and son were on their way to Chotra village, an official said.",https://timesofindia.indiatimes.com/city/ahmedabad/gujarat-man-wife-two-year-old-son-killed-in-road-accident/articleshow/84707953.cms
76,46% of Ahmedabad’s roads are prone to Road accidents,"Don’t be surprised, nearly 46% of the total 2,600km city road length is prone to road crash. This observation was made in a recent study by the city traffic department and Cept University.",https://timesofindia.indiatimes.com/city/ahmedabad/46-of-citys-roads-are-prone-to-road-accidents/articleshow/80903189.cms
77,"Gujarat: 21,000 died in Road accidents in 3 years","Despite the government’s tall claims of increasing road safety, official figures presented in the Gujarat assembly show that more than 21,000 persons died in Road accidents in the state during the past three years.",https://timesofindia.indiatimes.com/city/ahmedabad/21k-died-in-road-accidents-in-3-years/articleshow/81455506.cms
