sno,h,sub_h,link
43,Three women among six die in Road accident in Bihar's Kaimur,"Six persons, including three women, died while three others were critically injured after their e-rickshaw collided with a truck on NH-219 near Amwaman under Chaipur police station area in Kaimur district late Sunday evening.",https://timesofindia.indiatimes.com/city/patna/three-women-among-six-die-in-road-accident-in-bihars-kaimur/articleshow/92169020.cms
44,10-year-old among 7 killed in Road accident,"Seven people were killed on the spot in an accident caused by the head-on collision of a speeding four-wheeler (a Cruiser) and a truck in Ambajogai of Beed district. Of the seven deceased, six belonged to the same family.The accident took place around 10.",https://timesofindia.indiatimes.com/city/aurangabad/10-year-old-among-7-killed-in-road-accident/articleshow/91040701.cms
45,Four of a family killed in Road accident,"Four members of a family, including two women, were killed in an accident that took place on the Solapur-Dhule National Highway on Friday morning after the car they were travelling in rammed into a trailer carrying tractors.",https://timesofindia.indiatimes.com/city/aurangabad/four-of-a-family-killed-in-road-accident/articleshow/88625847.cms
46,13% decline in Road accidents in Bihar: Government,State transport minister Sheela Kumari on Thursday said road safety was a sensitive issue and all the departments should make efforts together to reduce the Road accidents.,https://timesofindia.indiatimes.com/city/patna/13-decline-in-road-accidents-in-state-govt/articleshow/88460292.cms
47,Workers from Bihar killed in Nagaland Road accident had left to eke out a living,Bihar CM Nitish Kumar on Sunday announced an ex gratia payment of Rs 2 lakh each to the next kin of four construction workers of Katihar’s Korha block who were killed in a Road accident in Nagaland’s Chumoukedima district on Saturday.,https://timesofindia.indiatimes.com/city/patna/workers-from-bihar-killed-in-nagaland-road-accident-had-left-to-eke-out-a-living/articleshow/92638403.cms
48,"Bihar: Five dead, 10 hurt in Buxar Road accident",At least five persons died and ten were critically injured in a head-on collision between a Scorpio and a bus near Kritsagar village under Krishna Brahma police station area in Buxar district on Saturday evening.,https://timesofindia.indiatimes.com/city/patna/five-dead-10-hurt-in-buxar-road-accident/articleshow/89694629.cms
49,Bihar CM Nitish Kumar announces ex-gratia of Rs 2 lakh to kin of 8 people killed in Road accident near Barabanki,"Both the ill-fated buses, which originated from Bihar’s Sitamarhi and Supaul (Darbhanga) towns, were on their way to the national capital. All eight deceased and 18 injured persons hail from Bihar.",https://timesofindia.indiatimes.com/city/patna/bihar-cm-nitish-kumar-announces-ex-gratia-of-rs-2-lakh-to-kin-of-8-people-killed-in-road-accident-near-barabanki/articleshow/93116639.cms
50,"Two killed, one injured in Road accident in Beed","Two persons were killed and one injured when their car hit a divider on Dhule-Solapur Highway in Maharashtra's Beed district, police said on Saturday.",https://timesofindia.indiatimes.com/city/aurangabad/two-killed-one-injured-in-road-accident-in-beed/articleshow/86504794.cms
51,"Two die, 4 injured in Patna as car runs over them",Two persons died and four more were critically injured after a car ran over them on NH-30 service lane near Sorangpur under Ramkrishna Nagar police station area in Patna at around 5.45am on Tuesday. The car was coming from Dhanbad in Jharkhand and was going to Saguna Mor in Danapur.,https://timesofindia.indiatimes.com/city/patna/two-die-4-injured-in-accident/articleshow/86592452.cms
52,"Woman robbed in Patna, girl dies in Road accident",,https://timesofindia.indiatimes.com/city/patna/woman-robbed-in-patna-girl-dies-in-road-accident/articleshow/85909032.cms
