sno,h,sub_h,link
43,Road accident deaths up in Vizag this year,"In 2022, the city of Vizag had 1327 Road accidents, compared to 1463 in 2021. The main reason for the increase in accidents in Vizag was that more people were on the roads. However, the city police department made efforts to mitigate the accidents, such as using speed laser guns and checking for drunk driving. In total, 333 people died in s in 2022, compared to 329 in 2021. The police also filed 8893 drunken driving cases in 2022, and of these 183 motorists were sent to jail. Over 1400 motorists were asked to campaign against drunken driving at important junctions for three days. The majority of the victims in road mishaps were two-wheeled riders, who were flouting traffic norms and engaging in accidents. The city police department is working to decrease the number of s by 10% in 2023.",https://timesofindia.indiatimes.com/city/visakhapatnam/road-accident-deaths-up-in-vizag-this-year/articleshow/96635138.cms
44,Two killed in two accidents,"A 24-year-old man was killed after his bike was hit by a goods carrier, and a 50-year-old man died on the spot after he lost control over his bike and it hit a roadside tree.",https://timesofindia.indiatimes.com/city/visakhapatnam/two-killed-in-two-accidents/articleshow/97238905.cms
45,4 killed as van hits trolley in Andhra Pradesh's Kakinada,"Four people, including a woman, were killed after a van ferrying 12 people hit a trolley in Kakinada district on Wednesday.",https://timesofindia.indiatimes.com/city/vijayawada/4-killed-as-van-hits-trolley-in-andhra-pradeshs-kakinada/articleshow/95548029.cms
46,8 killed in Road accident in Andhra Pradesh,Eight people were killed and two others were severely injured in a tragic Road accident in Alluri Sitharama Raju district on Tuesday.,https://timesofindia.indiatimes.com/city/vijayawada/six-killed-in-road-accident-in-andhra-pradesh/articleshow/95688717.cms
47,2 killed in separate Road accidents in Vizag,"Two persons were killed, and two suffered injuries in two separate Road accidents in Vizag region.",https://timesofindia.indiatimes.com/city/visakhapatnam/2-killed-in-separate-road-accidents/articleshow/95615423.cms
48,2 of family die in Road accident,"A family from Hyderabad’s Miyapur met with an accident near Kanipakam temple in Chittoor district on Wednesday. Two women of the family died on the spot, while three others, including an eight-year-old boy, were grievously injured.",https://timesofindia.indiatimes.com/city/vijayawada/2-of-family-die-in-road-accident/articleshow/94976524.cms
49,"Six killed, 20 injured in Road accident in Andhra Pradesh's Chittoor",Six people of a marriage party were killed and 20 others received injuries in a Road accident near Puthalapattu in Chittoor district late on Wednesday night.,https://timesofindia.indiatimes.com/city/visakhapatnam/six-killed-20-injured-in-road-accident-in-andhra-pradeshs-chittoor/articleshow/96100263.cms
50,Andhra Pradesh: Lack of reflectors on vehicles key reason for Road accidents in winter,"Lack of reflectors and tail-lights on vehicles, especially goods carriers and slow-moving vehicles, on NH-16 stretch has added to the woes of commuters during the winter season in north Andhra Pradesh region.",https://timesofindia.indiatimes.com/city/visakhapatnam/lack-of-reflectors-on-vehicles-key-reason-for-road-accidents-in-winter/articleshow/95797292.cms
51,Andhra Pradesh: Two labourers killed in Road accident in Nellore,Two persons died and more than 10 persons were injured after a lorry hit the mini truck they were travelling in at Kavali of Nellore. The accident occurred when a group of 18 construction workers were returning home from Nellore.,https://timesofindia.indiatimes.com/city/vijayawada/two-labourers-killed-in-road-accident/articleshow/95569113.cms
52,Andhra Pradesh: Two youngsters killed in separate Road accidents,"Two persons were killed in two separate Road accidents in the region. In the first incident, a 33-year-old woman died after a speeding bike hit her near Palavalasa under Sompeta mandal of Srikakulam district.",https://timesofindia.indiatimes.com/city/visakhapatnam/andhra-pradesh-two-youngsters-killed-in-separate-road-accidents/articleshow/95673365.cms
