sno,h,sub_h,link
48,"Telangana: One dead, 13 injured in Road accident at Manthani","The incident happened on Wednesday morning when T Vineet was driving the four wheeler from Khansaipeta village to Manthani. When the car crossed Manthani at Gadudulagutta, Vineet lost control over the car when he suddenly noticed the bus coming from the opposite direction after taking a right turn.",https://timesofindia.indiatimes.com/city/hyderabad/telangana-one-dead-13-injured-in-road-accident-at-manthani/articleshow/86815280.cms
49,23-year-old woman dies in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/23-year-old-woman-dies-in-road-accident/articleshow/85548484.cms
50,Ten perish in separate Road accidents in Telangana,"Ten persons died and several others suffered injuries in four separate Road accidents at different locations in the state since Friday night. In the first accident, four persons travelling from Yousufguda in Hyderabad to Yadgir in Karnataka died when their vehicle’s tyre burst and crashed into the safety railing of NH-165 on the outskirts of Kodangal in Vikarabad district on Saturday morning, Kodangal police said.",https://timesofindia.indiatimes.com/city/hyderabad/10-perish-in-separate-road-accidents/articleshow/83674885.cms
51,One dead in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/one-dead-in-road-accident/articleshow/80740004.cms
52,"4 cops, including SI, killed in AP Road accident",,https://timesofindia.indiatimes.com/city/hyderabad/4-cops-including-si-killed-in-ap-road-accident/articleshow/85579113.cms
53,Five killed in truck-car collision in Telangana,,https://timesofindia.indiatimes.com/city/hyderabad/five-killed-in-truck-car-collision-in-telangana/articleshow/85101407.cms
54,Telangana: Four farm labourers killed in Road accident,Four women were killed and 16 others sustained injuries in a Road accident on Friday when the auto-rickshaw in which they were travelling collided with a jeep on NH-163 near Neerukulla crossroads of Atmakur mandal.,https://timesofindia.indiatimes.com/city/hyderabad/four-farm-labourers-killed-in-road-accident/articleshow/81594495.cms
55,Hyderabad: Two die in Road accident,An 18-year-old private worker and his 13-year-old cousin died in a Road accident at Chaderghat in Telangana capital Hyderabad on Wednesday night.,https://timesofindia.indiatimes.com/city/hyderabad/hyderabad-two-die-in-road-accident/articleshow/81452225.cms
56,7 killed as two cars collide in Telangana's Nagarkurnool district,,https://timesofindia.indiatimes.com/city/hyderabad/7-killed-as-two-cars-collide-in-telanganas-nagarkurnool-district/articleshow/84680399.cms
57,Two motorists killed in Road accident,Two motorists died in a Road accident on Sunday evening on the outskirts of Ambala village of Kamalapur mandal.,https://timesofindia.indiatimes.com/city/hyderabad/2-motorists-killed-in-road-accident/articleshow/81262611.cms
58,Four killed in two Road accidents,,https://timesofindia.indiatimes.com/city/hyderabad/four-killed-in-two-road-accidents/articleshow/80869059.cms
59,Six killed as car crashes into truck in Telangana's Ranga Reddy district,At least six people died and three others suffered injuries when an Innova car crashed into a truck near Chevella in Telangana's Ranga Reddy district on Wednesday.,https://timesofindia.indiatimes.com/city/hyderabad/six-killed-as-car-crashes-into-truck-in-telanganas-ranga-reddy-district/articleshow/79524517.cms
60,Two killed in Shamshabad Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/two-killed-in-shamshabad-road-accident/articleshow/80487492.cms
61,"Telangana: Three dead, 15 injured in a Road accident at Miryalaguda",,https://timesofindia.indiatimes.com/city/hyderabad/telangana-three-dead-15-injured-in-a-road-accident-at-miryalaguda/articleshow/85596059.cms
62,Doc escapes unhurt in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/doc-escapes-unhurt-in-road-accident/articleshow/80414029.cms
63,Six women farm labourers among 7 killed in Telangana auto- truck collision,"Six women farm workers were among seven people killed and at least six others injured when a jam-packed auto-rickshaw and a container truck collided head-on on a highway in the district on Thursday, police said.",https://timesofindia.indiatimes.com/city/hyderabad/six-women-farm-labourers-among-7-killed-in-telangana-auto-truck-collision/articleshow/80391527.cms
64,Male spotted deer killed in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/male-spotted-deer-killed-in-road-accident/articleshow/81370202.cms
65,Greater Hyderabad Municipal Corporation worker dies in Road accident,"A GHMC contract worker died in a Road accident at Karmanghat on Thursday morning when a speeding truck hit his bike. While Sai Kiran was travelling on his bike at Karmanghat, a speeding truck rammed into the bike. The truck driver abandoned the vehicle on the road and fled from the spot. A case was registered.",https://timesofindia.indiatimes.com/city/hyderabad/greater-hyderabad-municipal-corporation-worker-dies-in-road-accident/articleshow/83629761.cms
66,3 of a family killed in Gadwal Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/3-of-a-family-killed-in-gadwal-road-accident/articleshow/82021371.cms
67,Two teens die in Road accident,,https://timesofindia.indiatimes.com/city/hyderabad/two-teens-die-in-road-accident/articleshow/79554411.cms
